BP0015 Student Visa Granted,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Age Group,(All),,,,,,,,,,,,,,,,,,,,,
Citizenship Country,(All),,,,,,,,,,,,,,,,,,,,,
Client Location,(All),,,,,,,,,,,,,,,,,,,,,
Education Provider Registered State,(All),,,,,,,,,,,,,,,,,,,,,
Financial Year Quarter,(All),,,,,,,,,,,,,,,,,,,,,
Gender,(All),,,,,,,,,,,,,,,,,,,,,
Lodgement Channel,(All),,,,,,,,,,,,,,,,,,,,,
Last Visa Held - Visa Category,(All),,,,,,,,,,,,,,,,,,,,,
Month,(All),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Sum of Total,,Financial Year of Visa Grant,,,,,,,,,,,,,,,,,,,,
Applicant Type,Sector,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,2025-26 to 31 May 2026
Primary,Foreign Affairs or Defence Sector,2849,2799,2615,2540,2699,2990,3744,4739,4655,4517,3787,4950,4864,3729,2579,702,2084,3354,3602,3816,3167
,Higher Education Sector,86976,102019,115403,118289,107183,100114,99421,112790,134139,132870,139864,155285,174934,189477,151520,115661,134631,261317,201907,206300,182644
,Independent ELICOS Sector,25456,28809,28562,33776,31980,26392,25478,26960,28548,30616,31926,37329,35670,37285,31023,5060,15472,68287,35496,24310,16270
,Non-Award Sector,17645,17533,20536,18799,17951,16986,16041,16895,19799,19125,20622,20462,20773,20329,12439,421,7239,17348,17629,17241,14274
,Postgraduate Research Sector,3736,3934,4319,5071,5512,5456,6039,6227,6365,6388,6053,6536,6572,6829,6261,5977,5449,10367,8326,8361,10093
,Schools Sector,12645,16352,16961,14103,12498,10435,9515,9186,9956,12009,11923,12978,11844,10824,7171,2654,4049,10689,9771,9074,7025
,Vocational Education and Training Sector,27493,39810,59950,83694,58360,53533,53628,46102,48652,54266,59520,65878,78357,86121,81446,64689,61951,128334,55044,53671,34956
Primary Total,,176800,211256,248346,276272,236183,215906,213866,222899,252114,259791,273695,303418,333014,354594,292439,195164,230875,499696,331775,322773,268429
Secondary,Foreign Affairs or Defence Sector,1722,1845,1904,1518,1517,1643,2116,2117,2236,2083,1596,1417,1384,1406,1051,440,872,1206,1026,1115,1011
,Higher Education Sector,7060,10016,14961,15570,11819,12451,13739,14479,18205,18843,18297,20670,24182,27247,23294,18369,15966,38827,25323,27270,27265
,Independent ELICOS Sector,1247,1521,1965,2675,3259,2669,2320,2647,2416,2599,2411,2767,2886,3231,2545,718,1039,6340,3524,2751,1542
,Non-Award Sector,139,140,245,200,188,121,119,184,134,78,87,77,94,70,53,19,20,84,34,38,43
,Postgraduate Research Sector,1787,1950,2631,3264,3829,3747,4566,4488,4956,4720,4111,3971,4399,4410,4050,3114,3357,6431,4470,4681,6215
,Schools Sector,22,28,31,36,29,25,4,3,3,2,1,3,1,,1,1,2,2,7,1,
,Vocational Education and Training Sector,2541,4038,8621,20095,13669,13873,16316,12461,11996,11424,10647,10712,12332,14784,16719,14925,11606,24709,10572,12935,7160
Secondary Total,,14518,19538,30358,43358,34310,34529,39180,36379,39946,39749,37150,39617,45278,51148,47713,37586,32862,77599,44956,48791,43236
Grand Total,,191318,230794,278704,319630,270493,250435,253046,259278,292060,299540,310845,343035,378292,405742,340152,232750,263737,577295,376731,371564,311665
