,,,,,
,BP0015 Student Visa Granted ,,,,
,Overview,,,,
,"This is a management report on Student visa applications granted. 

",,,,
,,,,,
,Report Period and Frequency,,,,
,Report is released monthly and covers the period 2005-06 to the most recent month.,,,,
,,,,,
,Report Contents,,,,
,Overview,,,,
,Granted (Month),,,,- Student Visa Applications Granted (Pivot Table)
,Explanatory Notes,,,,"- Explanatory Notes, Sources and Business Rules"
,Data Items and Terminology Used,,,,- Data items and other terminology
,,,,,
,Caveats and Quality Rating,,,,
,This Student visa granted pivot table dataset provided by the Department of Home Affairs is for statistical and research purposes. ,,,,
,1. Any publications or reports using this data must cite the Department of Home Affairs as the source.,,,,
,2. The Department of Home Affairs is not responsible for any analysis or transformation of the data by the requestor in any publications or reports,,,,
,3. The Department of Home Affairs is entitled to include a statement stating “The views expressed in this report are those of the authors and do not,,,,
,     necessarily represent those of the Department of Home Affairs” in such a published report. ,,,,
,"4. To the extent permitted by law, the Commonwealth excludes all liability for loss or damage arising from the use of, or reliance on, the information contained in this",,,,
,    workbook whether or not caused by any negligence on the part of the Commonwealth or its agents. ,,,,
,,,,,
,Further Information,,,,
,Further information about these and related statistics are available from the Department of Home Affairs website:,,,,
,www.homeaffairs.gov.au,,,,
,,,,,
,"To provide feedback or report issues, please contact:",,,,
,Statistical Coordination,,,,
,,,,,
,,,,,
,,,,,
,© Commonwealth of Australia,,,,
