,,,,,,,,,,
,,,,,,,,,,
,Explanatory Notes,,,,,,,,,
,,,,,,,,,,
,Data Sources,,,,,,,,,
,"Data is sourced from Integrated Client Services Environment (ICSE), Immigration Records Information System (IRIS), Migration Program Management System (MPMS) and Travel and Immigration Processing System (TRIPS)",,,,,,,,,
,,,,,,,,,,
,Business Rules,,,,,,,,,
,1. This report is based on visa applications recorded for visa subclass 500 and subclass 570 in the current finanical year and the previouse financial years.,,,,,,,,,
,2. Data is sourced from several departmental visa processing and recording systems. Data can be dynamic and there can be delays in transmission of information ,,,,,,,,,
,"    from the department's global operations. Variations in figures between this report and previous issues can occur. Due to these issues, figures in this report should",,,,,,,,,
,    always be considered previsional. ,,,,,,,,,
,3. The age of the client in the table is based on the time at visa lodged.,,,,,,,,,
,4. The education provider registered state is based on student visa holder's confirmation of enrolment (CoE). Where more than one (CoE) is recorded on the visa ,,,,,,,,,
,"    application, the education provider registered state is based on the CoE with highest course level. ",,,,,,,,,
,"    For secondary applicants, the registrered state is based on the primary applicant.",,,,,,,,,
,"    ""Not available"" under education provider registered state will show for:",,,,,,,,,
,    • Visa applications for Foreign Affairs and Defence Sector (as this sector do not have a CoE recorded).,,,,,,,,,
,    • Visa applications by a subsequent entrant.,,,,,,,,,
,    • Visa applications where the CoE was not recorded in systems.,,,,,,,,,
,,,,,,,,,,
,More information about migration statistics generally is available from the Department of Home Affairs website,,,,,,,,,www.homeaffairs.gov.au
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,© Commonwealth of Australia,,,,,,,,,
