Student visas lodged pivot table,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Age Group,(All),,,,,,,,,,,,,,,,,,,,,
Citizenship Country,(All),,,,,,,,,,,,,,,,,,,,,
Client Location,(All),,,,,,,,,,,,,,,,,,,,,
Financial Year Quarter,(All),,,,,,,,,,,,,,,,,,,,,
Gender,(All),,,,,,,,,,,,,,,,,,,,,
Education Provider Registered State,(All),,,,,,,,,,,,,,,,,,,,,
Lodgement Channel,(All),,,,,,,,,,,,,,,,,,,,,
Month,(All),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Sum of Total,,Financial Year of Visa Lodged,,,,,,,,,,,,,,,,,,,,
Applicant Type,Sector,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,2025-26 to 31 May 2026
Primary,Foreign Affairs or Defence Sector,2840,2709,2510,2534,2573,2892,3945,4940,4768,4597,3917,5002,5008,3861,2739,966,2421,3279,3662,3890,3268
,Higher Education Sector,94796,108025,118781,122455,109814,104869,107650,124492,144874,148674,155486,163204,179282,206637,169940,122145,171434,273586,270390,228906,208289
,Independent ELICOS Sector,26603,30522,29811,38142,33891,29547,28939,29870,30596,32736,35944,41502,40596,42284,33503,5575,30183,64557,49554,27515,18466
,Non-Award Sector,17749,17823,20975,19244,18064,17250,16314,17716,19413,19333,20443,20592,21104,20466,12217,370,8320,17039,17947,17375,14870
,Postgraduate Research Sector,3826,4172,4378,5171,5393,5649,6204,6484,6532,6524,6527,6663,7096,7797,7466,6388,7895,9028,9063,9693,10107
,Schools Sector,14880,18482,20445,15806,13184,11115,10309,9988,11446,13195,13653,13857,12686,12286,7882,2536,5454,11055,12511,9669,8050
,Vocational Education and Training Sector,32350,46781,66335,101099,66891,63634,61861,54355,54606,61507,76992,77626,95405,114470,103068,81110,94093,136036,135364,71377,59646
Primary Total,,193044,228514,263235,304451,249810,234956,235222,247845,272235,286566,312962,328446,361177,407801,336815,219090,319800,514580,498491,368425,322696
Secondary,Foreign Affairs or Defence Sector,2048,2228,2253,1883,1724,2115,2440,2389,2408,2242,1840,1482,1533,1537,1047,673,1131,1186,1151,1239,1122
,Higher Education Sector,9309,12903,18523,18482,14081,15609,16893,17735,21383,22787,23279,23719,26993,33782,27589,21054,22742,39180,40450,33240,29951
,Independent ELICOS Sector,1463,1940,2493,3093,3683,3073,2692,3217,2609,2918,3050,3483,3473,3993,2782,709,2261,6413,5863,2832,1643
,Non-Award Sector,158,176,358,248,210,144,136,218,122,96,111,95,93,79,64,19,48,84,59,32,42
,Postgraduate Research Sector,2087,2410,2968,3678,4084,4211,4824,5083,5257,4959,5032,4184,4492,5036,4324,3223,4549,5405,5144,5258,5738
,Schools Sector,33,74,71,56,61,37,9,25,15,17,5,25,51,8,21,6,12,32,17,7,8
,Vocational Education and Training Sector,3240,5603,11713,29955,18791,18756,18602,15285,14215,13242,14426,13232,15521,21179,22504,17859,14461,23424,29018,16098,9465
Secondary Total,,18338,25334,38379,57395,42634,43945,45596,43952,46009,46261,47743,46220,52156,65614,58331,43543,45204,75724,81702,58706,47969
Grand Total,,211382,253848,301614,361846,292444,278901,280818,291797,318244,332827,360705,374666,413333,473415,395146,262633,365004,590304,580193,427131,370665
